"mid_date","all_nspp","imm_nspp","adv_nspp","imm_nat_nspp","imm_nn_nspp","adv_nat_nspp","adv_nn_nspp","date_num"
"1905",1,0,1,0,0,1,0,1
"1915",2,1,1,0,1,1,0,2
"1925",3,2,1,2,0,0,1,3
"1935",8,6,2,5,1,1,1,4
"1945",7,4,3,0,4,2,1,5
"1955",13,12,1,8,4,0,1,6
"1965",4,2,2,2,0,1,1,7
"1975",9,8,1,6,2,0,1,8
"1985",8,6,2,3,3,1,1,9
"1995",19,13,6,9,4,3,2,10
"2005",24,12,12,9,3,7,4,11
"2015",18,12,6,10,2,2,3,12
