"mid_date","all_nspp","imm_nspp","adv_nspp","imm_nat_nspp","imm_nn_nspp","adv_nat_nspp","adv_nn_nspp","date_num"
"1905",1,0,1,0,0,1,0,1
"1915",2,1,1,0,1,1,0,2
"1925",2,2,0,2,0,0,0,3
"1935",8,6,2,5,1,1,1,4
"1945",6,4,2,0,4,2,0,5
"1955",12,11,1,7,4,0,1,6
"1965",2,1,1,1,0,0,1,7
"1975",9,8,1,5,3,0,1,8
"1985",7,6,1,3,3,0,1,9
"1995",17,12,5,8,4,3,1,10
"2005",23,12,11,9,3,6,4,11
"2015",17,12,5,10,2,1,3,12
